id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height,source
649,Chevron 45° Stejar Dark Smoked 14x125x680,,parchet,CHEVRON & HERRINGBONE,Chevron 45°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"680 mm, 125 mm",14 mm,Lemn,,,,125 mm,680 mm,,milano
650,Concret Frasin — Amestec,Aspectul industrial al concretului se întâlnește cu texturile colorate ale teracolei într-un amestec compozițional contemporan.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Lustruit, Antiderapant R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Porțelan de corp integral,,,,,,,abk
651,Concret Gri — Amestec,Aspectul industrial al concretului se întâlnește cu texturile colorate ale teracolei într-un amestec compozițional contemporan.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Lustruit, Antiderapant R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Porțelan de corp integral,,,,,,,abk
652,Concret Oțel — Amestec,Aspectul industrial al concretului se întâlnește cu texturile colorate ale teracolei într-un amestec compozițional contemporan.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Lustruit, Antiderapant R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Porțelan de corp integral,,,,,,,abk
653,Concret Lună — Amestec,Aspectul industrial al concretului se întâlnește cu texturile colorate ale teracolei într-un amestec compozițional contemporan.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Lustruit, Antiderapant R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Porțelan de corp integral,,,,,,,abk
654,Gri — Crossroad Chalk,"În această colecție de plăci porțelane cu un design minimalist și o suprafață cu efect tridimensional distinctiv, ABK a creat o reproducere extrem de realistă a grafitului și a efectului grafic al plăcilor într-o gamă largă de culori și dimensiuni. Este ideal pentru utilizare în construcții rezidențiale și proiecte arhitecturale mari.",ceramice,CONCRETE,Crossroad Chalk,False,ABK,ABK,,Natural,,"120x120, 60x120, 120x280",,Plăci ceramice,,,,,,,abk
655,Nisip — Crossroad Chalk,"În această colecție de plăci porțelane cu un design minimalist și o suprafață cu efect tridimensional distinctiv, ABK a creat o reproducere extrem de realistă a grafitului și a efectului grafic al plăcilor într-o gamă largă de culori și dimensiuni. Este ideal pentru utilizare în construcții rezidențiale și proiecte arhitecturale mari.",ceramice,CONCRETE,Crossroad Chalk,False,ABK,ABK,,Natural,,"120x120, 60x120, 120x280",,Plăci ceramice,,,,,,,abk
656,Alb — Crossroad Chalk,"În această colecție de plăci porțelane cu un design minimalist și o suprafață cu efect tridimensional distinctiv, ABK a creat o reproducere extrem de realistă a grafitului și a efectului grafic al plăcilor într-o gamă largă de culori și dimensiuni. Este ideal pentru utilizare în construcții rezidențiale și proiecte arhitecturale mari.",ceramice,CONCRETE,Crossroad Chalk,False,ABK,ABK,,Natural,,"120x120, 60x120, 120x280",,Plăci ceramice,,,,,,,abk
657,ARCURI — Sensi Fantasy,"Patru, decorațiuni și design sunt caracteristicile colecției Sensi Fantasy, care reinventează lumea plăcilor cu efect de marmură cu o originalitate uimitoare. Sunt disponibile o varietate de stiluri și inspirații pentru a crea suprafețe cu efecte tridimensionale care se remarcă prin atractivitate vizuală și tactilă.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
658,STRIPES — Sensi Fantasy,"Patru, decorațiuni și design sunt caracteristicile colecției Sensi Fantasy, care reinventează lumea plăcilor cu efect de marmură cu o originalitate uimitoare. Sunt disponibile o varietate de stiluri și inspirații pentru a crea suprafețe cu efecte tridimensionale care se remarcă prin atractivitate vizuală și tactilă.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
659,STRIPES — Sensi Fantasy (2),"Patru, decorațiuni și design sunt caracteristicile colecției Sensi Fantasy, care reinventează lumea plăcilor cu efect de marmură cu o originalitate uimitoare. Sunt disponibile o varietate de stiluri și inspirații pentru a crea suprafețe cu efecte tridimensionale care se remarcă prin atractivitate vizuală și tactilă.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
660,BALI — Sensi Fantasy,"Patru, decorațiuni și design sunt caracteristicile colecției Sensi Fantasy, care reinventează lumea plăcilor cu efect de marmură cu o originalitate uimitoare. Sunt disponibile o varietate de stiluri și inspirații pentru a crea suprafețe cu efecte tridimensionale care se remarcă prin atractivitate vizuală și tactilă.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
661,VERDE MARE — Sensi Nuance,"Tonele de culoare elegante se întâlnesc cu eleganța veche a marmurei. Acesta este spiritul din spatele varietăților selectate pentru NUANCE, cea mai nouă colecție din proiectul SENSI dedicat celor mai exlusivi și luxoși materiale create de natură. SENSI NUANCE vine în patru finishuri diferite. Plăcile Soft sunt completate de cele două noi variante Natural P.tech, care oferă o rezistență la frecare îmbunătățită, Lux 3D în care tehnologia 3D exclusivă recrie estetica unică a marmurei antice și Soft 3D.",ceramice,Marble,Sensi Nuance,False,ABK,ABK,,"Soft, P.tech, Lux 3D, Soft 3D",,"120x120, 60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
662,DEEP RIVER — Sensi Nuance,"Tonele de culoare elegante se întâlnesc cu eleganța veche a marmurei. Acesta este spiritul din spatele varietăților selectate pentru NUANCE, cea mai nouă colecție din proiectul SENSI dedicat celor mai exlusivi și luxoși materiale create de natură. SENSI NUANCE vine în patru finishuri diferite. Plăcile Soft sunt completate de cele două noi variante Natural P.tech, care oferă o rezistență la frecare îmbunătățită, Lux 3D în care tehnologia 3D exclusivă recrie estetica unică a marmurei antice și Soft 3D.",ceramice,Marble,Sensi Nuance,False,ABK,ABK,,"Soft, P.tech, Lux 3D, Soft 3D",,"120x120, 60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
663,WHITE MACAUBAS — Sensi Nuance,"Tonele de culoare elegante se întâlnesc cu eleganța veche a marmurei. Acesta este spiritul din spatele varietăților selectate pentru NUANCE, cea mai nouă colecție din proiectul SENSI dedicat celor mai exlusivi și luxoși materiale create de natură. SENSI NUANCE vine în patru finishuri diferite. Plăcile Soft sunt completate de cele două noi variante Natural P.tech, care oferă o rezistență la frecare îmbunătățită, Lux 3D în care tehnologia 3D exclusivă recrie estetica unică a marmurei antice și Soft 3D.",ceramice,Marble,Sensi Nuance,False,ABK,ABK,,"Soft, P.tech, Lux 3D, Soft 3D",,"120x120, 60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
664,Pulpis Ivory — Sensi 900,"ABK cu SENSI 900 celebrează varietățile de marmură care au marcat în concursul arhitectural apariția “luxului modern” la începutul secolului trecut, un stil caracterizat de o eleganță reținută și simplă în care centrul este pe materialele însele. Colecția SENSI 900 include mai multe varietăți clasice de marmură, cum ar fi Bianco Carrara, populară pentru estetica ei sobră și fundalul pur, Stone Grey, cu colorarea ei sofisticată de noroi gri, și Precious Black, o marmură neagră elegantă împodobită cu vena aurie. În completarea acestei serii sunt plăcile Oyster Gold, Oyster White, precum și produsul Venezia Nuvola, inspirat din teracotă, care îmbogățește trei-dimensionalitatea suprafețelor noi Antique 3D.",ceramice,Marble,Sensi 900,False,ABK,ABK,,"Lustruit, Mat, Antique 3D, P.tech",,"120x120, 60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
665,VENEZIA NUVOLA — Sensi 900,"ABK cu SENSI 900 celebrează varietățile de marmură care au marcat în concursul arhitectural apariția “luxului modern” la începutul secolului trecut, un stil caracterizat de o eleganță reținută și simplă în care centrul este pe materialele însele. Colecția SENSI 900 include mai multe varietăți clasice de marmură, cum ar fi Bianco Carrara, populară pentru estetica ei sobră și fundalul pur, Stone Grey, cu colorarea ei sofisticată de noroi gri, și Precious Black, o marmură neagră elegantă împodobită cu vena aurie. În completarea acestei serii sunt plăcile Oyster Gold, Oyster White, precum și produsul Venezia Nuvola, inspirat din teracotă, care îmbogățește trei-dimensionalitatea suprafețelor noi Antique 3D.",ceramice,Marble,Sensi 900,False,ABK,ABK,,"Lustruit, Mat, Antique 3D, P.tech",,"120x120, 60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
666,OYSTER WHITE — Sensi 900,"ABK cu SENSI 900 celebrează varietățile de marmură care au marcat în concursul arhitectural apariția “luxului modern” la începutul secolului trecut, un stil caracterizat de o eleganță reținută și simplă în care centrul este pe materialele însele. Colecția SENSI 900 include mai multe varietăți clasice de marmură, cum ar fi Bianco Carrara, populară pentru estetica ei sobră și fundalul pur, Stone Grey, cu colorarea ei sofisticată de noroi gri, și Precious Black, o marmură neagră elegantă împodobită cu vena aurie. În completarea acestei serii sunt plăcile Oyster Gold, Oyster White, precum și produsul Venezia Nuvola, inspirat din teracotă, care îmbogățește trei-dimensionalitatea suprafețelor noi Antique 3D.",ceramice,Marble,Sensi 900,False,ABK,ABK,,"Lustruit, Mat, Antique 3D, P.tech",,"120x120, 60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
667,STONE GREY — Sensi 900,"ABK cu SENSI 900 celebrează varietățile de marmură care au marcat în concursul arhitectural apariția “luxului modern” la începutul secolului trecut, un stil caracterizat de o eleganță reținută și simplă în care centrul este pe materialele însele. Colecția SENSI 900 include mai multe varietăți clasice de marmură, cum ar fi Bianco Carrara, populară pentru estetica ei sobră și fundalul pur, Stone Grey, cu colorarea ei sofisticată de noroi gri, și Precious Black, o marmură neagră elegantă împodobită cu vena aurie. În completarea acestei serii sunt plăcile Oyster Gold, Oyster White, precum și produsul Venezia Nuvola, inspirat din teracotă, care îmbogățește trei-dimensionalitatea suprafețelor noi Antique 3D.",ceramice,Marble,Sensi 900,False,ABK,ABK,,"Lustruit, Mat, Antique 3D, P.tech",,"120x120, 60x120, 120x280",,Porțelan de corp integral,,,,,,,abk
668,Taj Mahal — Sensi Gems,"Eleganța marmurei este evocată în patru varietăți sofisticate care se remarcă nu numai pentru vena lor contrastantă, dar și pentru efectele de cristalizare, texte distinctive care creează un sentiment surprinzător de adâncime în suprafețele disponibile în versiuni naturale, moi și lux.",ceramice,Marble,Sensi Gems,False,ABK,ABK,,"Natural, Lustruit, Soft, P.tech",,"120x120, 60x120, 120x280",,Plăci ceramice de corp integral,,,,,,,abk
669,Iceberg — Sensi Gems,"Eleganța marmurei este evocată în patru varietăți sofisticate care se remarcă nu numai pentru vena lor contrastantă, dar și pentru efectele de cristalizare, texte distinctive care creează un sentiment surprinzător de adâncime în suprafețele disponibile în versiuni naturale, moi și lux.",ceramice,Marble,Sensi Gems,False,ABK,ABK,,"Natural, Lustruit, Soft, P.tech",,"120x120, 60x120, 120x280",,Plăci ceramice de corp integral,,,,,,,abk
670,Perla Invizibilă — Sensi Up,Sensi Up introducează noi vizuale inspirate de marmură. Colecția oferă o selecție de marmure clasice și contemporane care se potrivesc perfect sensului de lux sofisticat care pătrunde în lumea arhitecturii de astăzi.,ceramice,Marble,Sensi Up,False,ABK,ABK,,"Natural, Lustruit, Soft, P.tech",,"160x320, 120x120, 60x120, 80x80, 120x280",,Plăci ceramice,,,,,,,abk
671,Statuario Versilia — Sensi Up,Sensi Up introducează noi vizuale inspirate de marmură. Colecția oferă o selecție de marmure clasice și contemporane care se potrivesc perfect sensului de lux sofisticat care pătrunde în lumea arhitecturii de astăzi.,ceramice,Marble,Sensi Up,False,ABK,ABK,,"Natural, Lustruit, Soft, P.tech",,"160x320, 120x120, 60x120, 80x80, 120x280",,Plăci ceramice,,,,,,,abk
672,Breccia Melange — Sensi Up,Sensi Up introducează noi vizuale inspirate de marmură. Colecția oferă o selecție de marmure clasice și contemporane care se potrivesc perfect sensului de lux sofisticat care pătrunde în lumea arhitecturii de astăzi.,ceramice,Marble,Sensi Up,False,ABK,ABK,,"Natural, Lustruit, Soft, P.tech",,"160x320, 120x120, 60x120, 80x80, 120x280",,Plăci ceramice,,,,,,,abk
673,Lapte — Alterego,"În conformitate cu o filozofie de design care încurajează cruzimea creării, colecția ALTEREGO reprezintă o abordare stilistic independentă, dar complementară, față de suprafețele ABK. Rangul ALTEREGO prezintă 10 tonuri în tendință pe o suprafață care evocă senzațiile tactile ale resinelor aplicate manual. Culorile selectate cu grijă inspiră combinații de culori creative, soluții compoziționale inovatoare și modele de instalare unice. Versatilitatea este îmbunătățită în mod semnificativ de larga gamă de dimensiuni modulare.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Plăci ceramice colorate de corp integral,,,,,,,abk
674,Nisip — Alterego,"În conformitate cu o filozofie de design care încurajează cruzimea creării, colecția ALTEREGO reprezintă o abordare stilistic independentă, dar complementară, față de suprafețele ABK. Rangul ALTEREGO prezintă 10 tonuri în tendință pe o suprafață care evocă senzațiile tactile ale resinelor aplicate manual. Culorile selectate cu grijă inspiră combinații de culori creative, soluții compoziționale inovatoare și modele de instalare unice. Versatilitatea este îmbunătățită în mod semnificativ de larga gamă de dimensiuni modulare.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Plăci ceramice colorate de corp integral,,,,,,,abk
675,Frasin — Alterego,"În conformitate cu o filozofie de design care încurajează cruzimea creării, colecția ALTEREGO reprezintă o abordare stilistic independentă, dar complementară, față de suprafețele ABK. Rangul ALTEREGO prezintă 10 tonuri în tendință pe o suprafață care evocă senzațiile tactile ale resinelor aplicate manual. Culorile selectate cu grijă inspiră combinații de culori creative, soluții compoziționale inovatoare și modele de instalare unice. Versatilitatea este îmbunătățită în mod semnificativ de larga gamă de dimensiuni modulare.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Plăci ceramice colorate de corp integral,,,,,,,abk
676,Mud — Alterego,"În conformitate cu o filozofie de design care încurajează cruzimea creării, colecția ALTEREGO reprezintă o abordare stilistic independentă, dar complementară, față de suprafețele ABK. Rangul ALTEREGO prezintă 10 tonuri în tendință pe o suprafață care evocă senzațiile tactile ale resinelor aplicate manual. Culorile selectate cu grijă inspiră combinații de culori creative, soluții compoziționale inovatoare și modele de instalare unice. Versatilitatea este îmbunătățită în mod semnificativ de larga gamă de dimensiuni modulare.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Plăci ceramice colorate de corp integral,,,,,,,abk
677,Cotto — Alterego,"În conformitate cu o filozofie de design care încurajează cruzimea creării, colecția ALTEREGO reprezintă o abordare stilistic independentă, dar complementară, față de suprafețele ABK. Rangul ALTEREGO prezintă 10 tonuri în tendință pe o suprafață care evocă senzațiile tactile ale resinelor aplicate manual. Culorile selectate cu grijă inspiră combinații de culori creative, soluții compoziționale inovatoare și modele de instalare unice. Versatilitatea este îmbunătățită în mod semnificativ de larga gamă de dimensiuni modulare.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Plăci ceramice colorate de corp integral,,,,,,,abk
678,Ceramica — Alterego,"În conformitate cu o filozofie de design care încurajează cruzimea creării, colecția ALTEREGO reprezintă o abordare stilistic independentă, dar complementară, față de suprafețele ABK. Rangul ALTEREGO prezintă 10 tonuri în tendință pe o suprafață care evocă senzațiile tactile ale resinelor aplicate manual. Culorile selectate cu grijă inspiră combinații de culori creative, soluții compoziționale inovatoare și modele de instalare unice. Versatilitatea este îmbunătățită în mod semnificativ de larga gamă de dimensiuni modulare.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Plăci ceramice colorate de corp integral,,,,,,,abk
679,ALB — Sensi Roma,"Lumea arhitecturii și a designului interior redescoperă atracția veche a travertinului, un material de frumusețe veche, aproape primordială, care a fost utilizat de-a lungul secolelor în numeroase clădiri din Roma, orașul etern. În permanență atentă la tendințele și gusturile în schimbare, ABK prezintă SENSI ROMA, o colecție de plăci porțelan exclusivă care combină stilul și tehnologia și este inspirată de Travertino Navona, una dintre cele mai prestigioase și populare varietăți ale acestei pietre.",ceramice,Stone,Sensi Roma,False,ABK,ABK,,"Natural, Antiderapant R11, Antique 3D, P.tech, Lux 3D",,"80x160, 120x120, 60x120, 80x80, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
680,IVOR — Sensi Roma,"Lumea arhitecturii și a designului interior redescoperă atracția veche a travertinului, un material de frumusețe veche, aproape primordială, care a fost utilizat de-a lungul secolelor în numeroase clădiri din Roma, orașul etern. În permanență atentă la tendințele și gusturile în schimbare, ABK prezintă SENSI ROMA, o colecție de plăci porțelan exclusivă care combină stilul și tehnologia și este inspirată de Travertino Navona, una dintre cele mai prestigioase și populare varietăți ale acestei pietre.",ceramice,Stone,Sensi Roma,False,ABK,ABK,,"Natural, Antiderapant R11, Antique 3D, P.tech, Lux 3D",,"80x160, 120x120, 60x120, 80x80, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
681,CREM — Sensi Roma,"Lumea arhitecturii și a designului interior redescoperă atracția veche a travertinului, un material de frumusețe veche, aproape primordială, care a fost utilizat de-a lungul secolelor în numeroase clădiri din Roma, orașul etern. În permanență atentă la tendințele și gusturile în schimbare, ABK prezintă SENSI ROMA, o colecție de plăci porțelan exclusivă care combină stilul și tehnologia și este inspirată de Travertino Navona, una dintre cele mai prestigioase și populare varietăți ale acestei pietre.",ceramice,Stone,Sensi Roma,False,ABK,ABK,,"Natural, Antiderapant R11, Antique 3D, P.tech, Lux 3D",,"80x160, 120x120, 60x120, 80x80, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
682,ROȘU — Sensi Roma,"Lumea arhitecturii și a designului interior redescoperă atracția veche a travertinului, un material de frumusețe veche, aproape primordială, care a fost utilizat de-a lungul secolelor în numeroase clădiri din Roma, orașul etern. În permanență atentă la tendințele și gusturile în schimbare, ABK prezintă SENSI ROMA, o colecție de plăci porțelan exclusivă care combină stilul și tehnologia și este inspirată de Travertino Navona, una dintre cele mai prestigioase și populare varietăți ale acestei pietre.",ceramice,Stone,Sensi Roma,False,ABK,ABK,,"Natural, Antiderapant R11, Antique 3D, P.tech, Lux 3D",,"80x160, 120x120, 60x120, 80x80, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
683,Alb — Cliff,"Cliff este o colecție elegantă și minimalistă a lui ABK, care combină calitatea porțelanului stucos cu discretul charme al pietrei naturale. Inspirată de calcarul european, designul depășește pur și simplu efectele grafice, mergând către trei-dimensionalitate, cu suprafețe îmbunătățite de micro-bush-hammering și fine decorative gravuri.",ceramice,Stone,Cliff,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 80x80, 60x60, 120x280",,Porțelan de corp integral,,,,,,,abk
684,Nisip — Piatră de Clifă,"Cliff este o colecție elegantă și minimalistă a lui ABK, care combină calitatea porțelanului stucos cu discretul charme al pietrei naturale. Inspirată de calcarul european, designul depășește pur și simplu efectele grafice, mergând către trei-dimensionalitate, cu suprafețe îmbunătățite de micro-bush-hammering și fine decorative gravuri.",ceramice,Stone,Cliff,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 80x80, 60x60, 120x280",,Porțelan de corp integral,,,,,,,abk
685,Frasin — Piatră de Clifă,"Cliff este o colecție elegantă și minimalistă a lui ABK, care combină calitatea porțelanului stucos cu discretul charme al pietrei naturale. Inspirată de calcarul european, designul depășește pur și simplu efectele grafice, mergând către trei-dimensionalitate, cu suprafețe îmbunătățite de micro-bush-hammering și fine decorative gravuri.",ceramice,Stone,Cliff,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 80x80, 60x60, 120x280",,Porțelan de corp integral,,,,,,,abk
686,Trani Ivory — Piatră de Poezie,"Colectia POETRY STONE reinterpretează identitatea naturală și primitivă a pietrei. Aceste suprafețe esențiale și contemporane sunt disponibile într-o gamă largă de dimensiuni, inclusiv plăci mari, cu finisaje potrivite pentru multe aplicații interioare și exterioare. Colectia prezintă elemente decorative exclusive și texte care combină visiunea creativă a Studioului OTTO - Paola Navone cu calitățile distinctive ale produselor ceramice ABK.",ceramice,Stone,Poetry Stone,False,ABK,ABK,,"Natural, Antiderapant R11, P.tech",,"120x120, 60x120, 80x80, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
687,Trani Beige — Piatră de Poezie,"Colectia POETRY STONE reinterpretează identitatea naturală și primitivă a pietrei. Aceste suprafețe esențiale și contemporane sunt disponibile într-o gamă largă de dimensiuni, inclusiv plăci mari, cu finisaje potrivite pentru multe aplicații interioare și exterioare. Colectia prezintă elemente decorative exclusive și texte care combină visiunea creativă a Studioului OTTO - Paola Navone cu calitățile distinctive ale produselor ceramice ABK.",ceramice,Stone,Poetry Stone,False,ABK,ABK,,"Natural, Antiderapant R11, P.tech",,"120x120, 60x120, 80x80, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
688,Pirenei Ecru — Piatră de Poezie,"Colectia POETRY STONE reinterpretează identitatea naturală și primitivă a pietrei. Aceste suprafețe esențiale și contemporane sunt disponibile într-o gamă largă de dimensiuni, inclusiv plăci mari, cu finisaje potrivite pentru multe aplicații interioare și exterioare. Colectia prezintă elemente decorative exclusive și texte care combină visiunea creativă a Studioului OTTO - Paola Navone cu calitățile distinctive ale produselor ceramice ABK.",ceramice,Stone,Poetry Stone,False,ABK,ABK,,"Natural, Antiderapant R11, P.tech",,"120x120, 60x120, 80x80, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
689,Pirenei Grey — Piatră de Poezie,"Colectia POETRY STONE reinterpretează identitatea naturală și primitivă a pietrei. Aceste suprafețe esențiale și contemporane sunt disponibile într-o gamă largă de dimensiuni, inclusiv plăci mari, cu finisaje potrivite pentru multe aplicații interioare și exterioare. Colectia prezintă elemente decorative exclusive și texte care combină visiunea creativă a Studioului OTTO - Paola Navone cu calitățile distinctive ale produselor ceramice ABK.",ceramice,Stone,Poetry Stone,False,ABK,ABK,,"Natural, Antiderapant R11, P.tech",,"120x120, 60x120, 80x80, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
690,Piase Smoke — Piatră de Poezie,"Colectia POETRY STONE reinterpretează identitatea naturală și primitivă a pietrei. Aceste suprafețe esențiale și contemporane sunt disponibile într-o gamă largă de dimensiuni, inclusiv plăci mari, cu finisaje potrivite pentru multe aplicații interioare și exterioare. Colectia prezintă elemente decorative exclusive și texte care combină visiunea creativă a Studioului OTTO - Paola Navone cu calitățile distinctive ale produselor ceramice ABK.",ceramice,Stone,Poetry Stone,False,ABK,ABK,,"Natural, Antiderapant R11, P.tech",,"120x120, 60x120, 80x80, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
691,Nisipul Jura — Poezia Pietrei Reloaded,"Poetry Stone Reloaded, ultimul capitol din colaborarea Poetry House între Paola Navone OTTO Studio și ABK, extinde în continuare explorarea pietrei în proiectele de design. Multe tipuri de piatră sunt strâns asociate cu regiunile din care provin și unde au fost utilizate de-a lungul istoriei, făcându-le un canvas ideal pentru designer. În urmărirea visiunii ei eclectice, ea utilizează tehnologii avansate pentru a transforma ceramica într-un suprafață de designer sofisticată.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
692,Stejarul Jura — Poezia Pietrei Reloaded,"Poetry Stone Reloaded, ultimul capitol din colaborarea Poetry House între Paola Navone OTTO Studio și ABK, extinde în continuare explorarea pietrei în proiectele de design. Multe tipuri de piatră sunt strâns asociate cu regiunile din care provin și unde au fost utilizate de-a lungul istoriei, făcându-le un canvas ideal pentru designer. În urmărirea visiunii ei eclectice, ea utilizează tehnologii avansate pentru a transforma ceramica într-un suprafață de designer sofisticată.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
693,Fumul Basaltina — Poezia Pietrei Reloaded,"Poetry Stone Reloaded, ultimul capitol din colaborarea Poetry House între Paola Navone OTTO Studio și ABK, extinde în continuare explorarea pietrei în proiectele de design. Multe tipuri de piatră sunt strâns asociate cu regiunile din care provin și unde au fost utilizate de-a lungul istoriei, făcându-le un canvas ideal pentru designer. În urmărirea visiunii ei eclectice, ea utilizează tehnologii avansate pentru a transforma ceramica într-un suprafață de designer sofisticată.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
694,Basaltina Întunecat — Poezia Pietrei Reloaded,"Poetry Stone Reloaded, ultimul capitol din colaborarea Poetry House între Paola Navone OTTO Studio și ABK, extinde în continuare explorarea pietrei în proiectele de design. Multe tipuri de piatră sunt strâns asociate cu regiunile din care provin și unde au fost utilizate de-a lungul istoriei, făcându-le un canvas ideal pentru designer. În urmărirea visiunii ei eclectice, ea utilizează tehnologii avansate pentru a transforma ceramica într-un suprafață de designer sofisticată.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
695,Carvarea Fumului — Poezia Pietrei Reloaded,"Poetry Stone Reloaded, ultimul capitol din colaborarea Poetry House între Paola Navone OTTO Studio și ABK, extinde în continuare explorarea pietrei în proiectele de design. Multe tipuri de piatră sunt strâns asociate cu regiunile din care provin și unde au fost utilizate de-a lungul istoriei, făcându-le un canvas ideal pentru designer. În urmărirea visiunii ei eclectice, ea utilizează tehnologii avansate pentru a transforma ceramica într-un suprafață de designer sofisticată.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
696,Carvarea Ecru — Poezia Pietrei Reloaded,"Poetry Stone Reloaded, ultimul capitol din colaborarea Poetry House între Paola Navone OTTO Studio și ABK, extinde în continuare explorarea pietrei în proiectele de design. Multe tipuri de piatră sunt strâns asociate cu regiunile din care provin și unde au fost utilizate de-a lungul istoriei, făcându-le un canvas ideal pentru designer. În urmărirea visiunii ei eclectice, ea utilizează tehnologii avansate pentru a transforma ceramica într-un suprafață de designer sofisticată.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
697,Carving Beige — Poezie de piatră reîncărcată,"Poetry Stone Reloaded, ultimul capitol din colaborarea Poetry House între Paola Navone OTTO Studio și ABK, extinde în continuare explorarea pietrei în proiectele de design. Multe tipuri de piatră sunt strâns asociate cu regiunile din care provin și unde au fost utilizate de-a lungul istoriei, făcându-le un canvas ideal pentru designer. În urmărirea visiunii ei eclectice, ea utilizează tehnologii avansate pentru a transforma ceramica într-un suprafață de designer sofisticată.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Porțelan de corp integral,,,,,,,abk
